question_id,question
0,"What are good and bad sides of manual and automatic drive gear?"
1,"How do muscles grow?"
2,"If dark colours absorb more heat, why does light skin burn easier than dark skin?"
3,"Why do you see weird colors when you press your eyes?"
4,"How do devices know the amount of charge left in a battery?"
5,"How did the American accent come about?"
6,"The Cuban Missle Crisis and Americas enormous beef with Cuba, what happened there?"
7,"What is a MAC Address?"
8,"What happens to Lactose when ingested by Lactose-Intolerants?"
9,"How does cutting down trees to plant other vegetation for the purpose of cultivation (such as avocado farming) contribute to global warming?"
10,"I've been reading up on nukes. Did the Nevada nuclear tests have nuclear winter? Why or why not?"
11,"Why can I not remember what happens when I'm drunk?"
12,"What is the difference between real and imaginary numbers?"
13,"Are calories just calories? Is it the same if you get a calorie from a fizzy drink or a piece of fruit or a slice of potato or a bit of cheese?"
14,"What is the difference between a CEO and the President of a company?"
15,"Why is it, that even though I genuinely love Whiskey, I shudder nearly every time I drink some?"
16,"What prevents DNA from getting tangled?"
17,"Why when we are sick/have an infection does our body temperature go up, as in a fever?"
18,"Can someone explain what quantum suicide and quantum immortality are?"
19,"Why does yellow mustard taste so different from Dijon mustard?"
20,"Why are denim jeans both stiflingly uncomfortable in hot weather and freezing in cold weather?"
21,"How do hair transplants work?"
22,"What's an API? (computers)"
23,"Why does rain make people tired?"
24,"Why does smoking preserve food?"
25,"What is CERN and what real problems can it cause?"
26,"How does carbon dating work?"
27,"How is it possible to program a computer? How can a clunk of metal understand lines of code?"
28,"What's the difference between race versus ethnicity."
29,"What is the difference between a gene and a chromosome?"
30,"Why is the sea made out of salt water?"
31,"Tomatoes and peppers are native to the Americas. Why are they identified with traditional Italian/Indian/Chinese/etc food?"
32,"How can clams grow shells?"
33,"How does the ISS maintain it's altitude without crashing into the planet?"
34,"How does the numbering on US interstate exits work?"
35,"How does light transfer data in optical fibers?"
36,"Can anyone launch a satellite? Or are there laws claiming space territory?"
37,"How do trees survive winter?"
38,"Why in construction, when they lay rebar, is it in a grid pattern?"
39,"If sound is typically vibration travelling through air, how can I hear someone through a wall."
40,"Why is cheese such a big deal to the French?"
41,"How does machine learning work? Do computers experience cognitive dissonance where they have to weigh two conflicting ideas?"
42,"Why are mice associated with cheese?"
43,"How does honey never expire?"
44,"How does a vinyl record work?"
45,"How does electricity get converted to movement in machines?"
46,"Why is gold worth so much?"
47,"What caused humans to outsmart other primates?"
48,"What happens when you have a 'pinched nerve'?"
49,"How do solar panels work?"
